graph,best_known,algorithm,best_colors,avg_colors,std_colors,avg_conflicts,avg_time,std_time,deviation_best,deviation_avg
dsjc250.5,28,Greedy,42,42.0,0.0,0.0,0.037764946619669594,0.0019715781651666315,50.0,50.0
dsjc250.5,28,Tabu Search,34,34.666666666666664,0.5773502691896258,0.0,925.6611063480377,241.6891885806902,21.428571428571427,23.8095238095238
dsjc250.5,28,ACO,55,55.666666666666664,0.5773502691896258,0.0,1134.350811402003,59.201911926932745,96.42857142857143,98.8095238095238
dsjc500.9,126,Greedy,174,174.0,0.0,0.0,0.24407490094502768,0.017054371843208748,38.095238095238095,38.095238095238095
dsjc500.9,126,Tabu Search,164,166.0,2.0,0.0,6730.858448584874,2541.8600447715316,30.158730158730158,31.746031746031743
dsjc500.9,126,ACO,199,201.33333333333334,2.5166114784235836,0.0,5853.500458637874,42.27299885590715,57.936507936507944,59.78835978835979
dsjc1000.5,85,Greedy,125,125.0,0.0,0.0,0.7312979698181152,0.04836048195812435,47.05882352941176,47.05882352941176
dsjc1000.5,85,Tabu Search,124,124.66666666666667,0.5773502691896257,0.0,10026.232540369034,168.65851088731506,45.88235294117647,46.66666666666667
dsjc1000.5,85,ACO,226,227.0,1.0,0.0,13669.638873577118,1333.9571822386852,165.8823529411765,167.05882352941177
